run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
1,baseline-50x30,dot-buffer,33.753,0.228,13.764,2.762,0.002,16.997,pack,29360128,1,1,BASELINE50X30,https://sez.print/baseline,76204
2,text-heavy,dot-buffer,31.911,2.223,0.000,9.058,0.001,20.630,pack,29360128,1,1,,,133472
3,dense,dot-buffer,36.247,0.160,16.146,3.342,0.001,16.598,pack,29360128,1,1,BASELINE50X30,https://sez.print/baseline,71626
4,minimal,dot-buffer,12.242,0.220,0.000,0.051,0.001,11.969,pack,29360128,1,1,,,5184
5,barcode-small,dot-buffer,30.911,0.235,15.119,1.789,0.001,13.767,encode,29360128,1,1,BASELINE50X30,https://sez.print/baseline,28736
6,baseline-50x30,dot-buffer,35.296,0.180,15.452,2.845,0.001,16.818,pack,29360128,0,,,,
7,text-heavy,dot-buffer,30.135,0.190,0.000,9.235,0.001,20.709,pack,29360128,0,,,,
8,dense,dot-buffer,34.452,0.162,15.094,2.497,0.001,16.697,pack,29360128,0,,,,
9,minimal,dot-buffer,12.075,0.222,0.000,0.050,0.001,11.802,pack,29360128,0,,,,
10,barcode-small,dot-buffer,29.474,0.218,13.695,1.760,0.001,13.799,pack,29360128,0,,,,
11,baseline-50x30,dot-buffer,37.735,0.128,17.077,2.799,0.001,17.730,pack,29360128,0,,,,
12,text-heavy,dot-buffer,29.874,0.151,0.000,9.030,0.001,20.692,pack,29360128,0,,,,
13,dense,dot-buffer,34.568,0.161,13.489,4.310,0.002,16.606,pack,29360128,0,,,,
14,minimal,dot-buffer,12.035,0.160,0.000,0.047,0.001,11.827,pack,29360128,0,,,,
15,barcode-small,dot-buffer,29.823,0.161,13.701,1.748,0.001,14.212,pack,29360128,0,,,,
16,baseline-50x30,dot-buffer,35.445,0.179,15.408,2.821,0.001,17.035,pack,29360128,0,,,,
17,text-heavy,dot-buffer,29.923,0.180,0.000,9.088,0.001,20.654,pack,29360128,0,,,,
18,dense,dot-buffer,35.069,0.180,15.226,2.479,0.001,17.184,pack,29360128,0,,,,
19,minimal,dot-buffer,12.068,0.161,0.000,0.051,0.001,11.855,pack,29360128,0,,,,
20,barcode-small,dot-buffer,29.290,0.171,13.633,1.926,0.001,13.558,encode,29360128,0,,,,
21,baseline-50x30,dot-buffer,33.461,0.171,13.625,2.829,0.001,16.834,pack,29360128,0,,,,
22,text-heavy,dot-buffer,29.874,0.152,0.000,9.042,0.001,20.679,pack,29360128,0,,,,
23,dense,dot-buffer,34.866,0.144,15.597,2.476,0.001,16.648,pack,29360128,0,,,,
24,minimal,dot-buffer,12.035,0.174,0.000,0.048,0.001,11.812,pack,29360128,0,,,,
25,barcode-small,dot-buffer,30.758,0.138,15.231,1.749,0.001,13.639,encode,29360128,0,,,,
26,baseline-50x30,dot-buffer,33.611,0.133,13.709,2.831,0.001,16.938,pack,29360128,0,,,,
27,text-heavy,dot-buffer,30.060,0.138,0.000,9.097,0.001,20.824,pack,29360128,0,,,,
28,dense,dot-buffer,34.205,0.143,14.918,2.565,0.001,16.579,pack,29360128,0,,,,
29,minimal,dot-buffer,12.261,0.158,0.000,0.059,0.001,12.044,pack,29360128,0,,,,
30,barcode-small,dot-buffer,30.567,0.195,15.050,1.753,0.001,13.567,encode,29360128,0,,,,
31,baseline-50x30,dot-buffer,34.373,0.156,14.327,2.845,0.001,17.044,pack,29360128,0,,,,
32,text-heavy,dot-buffer,31.485,0.134,0.000,10.702,0.001,20.648,pack,29360128,0,,,,
33,dense,dot-buffer,32.932,0.140,13.605,2.528,0.001,16.659,pack,29360128,0,,,,
